,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,date_string,daily_returns,daily_excess_returns,daily_risk_free
0,2022-01-03 00:00:00-05:00,37.658862620422966,37.78532847824374,37.153012972509,37.162044525146484,4394400,0.0,0.0,0.0,2022-01-03,,,3.174603e-06
1,2022-01-04 00:00:00-05:00,36.98137838253709,37.11687577805646,36.7916847854835,37.026546478271484,5706200,0.0,0.0,0.0,2022-01-04,-0.003659483796430087,-0.0036626583995100566,3.174603e-06
2,2022-01-05 00:00:00-05:00,37.12590311865862,37.12590311865862,36.79168061235341,36.85491180419922,2842500,0.0,0.0,0.0,2022-01-05,-0.004657036624700584,-0.004660211227780553,3.174603e-06
3,2022-01-06 00:00:00-05:00,36.74651934485882,36.9452479351197,36.674253149912374,36.909114837646484,1861300,0.0,0.0,0.0,2022-01-06,0.001468554141319578,0.0014653795382396084,3.174603e-06
4,2022-01-07 00:00:00-05:00,36.8729786183469,36.882013614871184,36.48455646799986,36.647151947021484,1959000,0.0,0.0,0.0,2022-01-07,-0.007148246908892225,-0.0071514215119721945,3.174603e-06
5,2022-01-10 00:00:00-05:00,36.50263167961249,36.76459150753174,36.430368919473395,36.728458404541016,1696800,0.0,0.0,0.0,2022-01-10,0.0022137182188261603,0.0022105436157461907,3.174603e-06
6,2022-01-11 00:00:00-05:00,36.782634951059414,36.954261913680575,36.73746687777577,36.936195373535156,3060600,0.0,0.0,0.0,2022-01-11,0.005624211343190601,0.005621036740110632,3.174603e-06
7,2022-01-12 00:00:00-05:00,37.035585623906584,37.053652176736435,36.8097588822974,36.818790435791016,1496800,0.0,0.0,0.0,2022-01-12,-0.0031887233761490703,-0.00319189797922904,3.174603e-06
8,2022-01-13 00:00:00-05:00,36.91815205317642,37.14397877826825,36.818787742801234,37.10784912109375,1608100,0.0,0.0,0.0,2022-01-13,0.007789691187960031,0.007786516584880061,3.174603e-06
9,2022-01-14 00:00:00-05:00,36.91814972173436,36.91814972173436,36.51166095307103,36.583927154541016,2196000,0.0,0.0,0.0,2022-01-14,-0.014321096921594488,-0.014324271524674458,3.174603e-06
10,2022-01-18 00:00:00-05:00,36.312929447449925,36.385192190454674,36.078067779541016,36.078067779541016,2168300,0.0,0.0,0.0,2022-01-18,-0.014021243545832585,-0.014024418148912554,3.174603e-06
