value,thetas,thetaPrime,PnL,capitalGains
979883.5498038135,979883.5498038135,0.0,464.4407598831441,0.0
976377.9600931855,976377.9600931855,0.0,-3505.5897106278726,0.0
974527.2053746436,974527.2053746436,0.0,-1850.754718541941,0.0
975653.6427721286,975653.6427721286,0.0,1126.4373974850007,0.0
957272.889046405,957272.889046405,0.0,-18380.753725723633,0.0
962028.7169225081,962028.7169225081,0.0,4755.827876103139,0.0
963807.9813046828,963807.9813046828,0.0,1779.2643821747536,0.0
948662.1687760211,948662.1687760211,0.0,-15145.812528661636,0.0
940843.1635067028,940843.1635067028,0.0,-7819.00526931833,0.0
920442.9363288273,920442.9363288273,0.0,-20400.227177875473,0.0
936140.9417915686,936140.9417915686,0.0,15698.005462741368,0.0
927998.2159930188,927998.2159930188,0.0,-8142.725798549819,0.0
937399.7227902137,937399.7227902137,0.0,9401.506797194776,0.0
941502.9202026029,941502.9202026029,0.0,4103.197412389248,0.0
928071.0268607723,928071.0268607723,0.0,-13431.893341830597,0.0
924236.5783479238,924236.5783479238,0.0,-3834.448512848497,0.0
923049.1487754914,923049.1487754914,0.0,-1187.4295724324495,0.0
917564.2999213679,917564.2999213679,0.0,-5484.848854123467,0.0
910759.345809476,910759.345809476,0.0,-6804.954111891955,0.0
906270.7291491197,906270.7291491197,0.0,-4488.616660356279,0.0
909713.5371670882,909713.5371670882,0.0,3442.8080179685053,0.0
897629.254244408,897629.254244408,0.0,-12084.282922680275,0.0
903384.0264635711,903384.0264635711,0.0,5754.772219163189,0.0
923664.3318665838,923664.3318665838,0.0,20280.30540301264,0.0
918517.2227167218,918517.2227167218,0.0,-5147.109149861981,0.0
919973.1580290474,919973.1580290474,0.0,1455.9353123255942,0.0
921098.5985208746,921098.5985208746,0.0,1125.4404918271769,0.0
930141.0467983896,930141.0467983896,0.0,9042.448277515015,0.0
929284.6478968238,929284.6478968238,0.0,-856.3989015657653,0.0
932715.5624320213,932715.5624320213,0.0,3430.9145351973943,0.0
919325.5160154197,919325.5160154197,0.0,-13390.046416601537,0.0
907891.570305518,907891.570305518,0.0,-11433.945709901802,0.0
908691.1387258085,908691.1387258085,0.0,799.5684202904398,0.0
911142.2813262495,911142.2813262495,0.0,2451.1426004409996,0.0
913923.0291406213,913923.0291406213,0.0,2780.7478143718636,0.0
908444.7468462499,908444.7468462499,0.0,-5478.282294371402,0.0
912215.49556941,912215.49556941,0.0,3770.7487231601417,0.0
912352.7595377191,912352.7595377191,0.0,137.26396830909306,0.0
906878.4299602438,906878.4299602438,0.0,-5474.329577475266,0.0
901736.446540623,901736.446540623,0.0,-5141.983419620824,0.0
904845.0013280981,904845.0013280981,0.0,3108.554787475153,0.0
