value,thetas,thetaPrime,PnL,capitalGains
921241.0443756,0.0,921241.0443756,0.0,18.57067511726013
921259.6154250784,0.0,921259.6154250784,0.0,18.571049478485737
921278.1868489257,0.0,921278.1868489257,-0.0,18.57142384725799
921296.7220899095,0.0,921296.7220899095,-0.0,18.535240983844695
921315.29426178,0.0,921315.29426178,-0.0,18.57217187049552
921333.8668080419,0.0,921333.8668080419,-0.0,18.57254626189377
921352.4397287028,0.0,921352.4397287028,0.0,18.57292066083928
921371.0130237701,0.0,921371.0130237701,-0.0,18.573295067332193
921389.5866932514,0.0,921389.5866932514,-0.0,18.573669481372665
921408.1607371543,0.0,921408.1607371543,-0.0,18.574043902960845
921426.7351554864,0.0,921426.7351554864,0.0,18.574418332096894
921445.3099482552,0.0,921445.3099482552,-0.0,18.574792768780956
921463.8851154682,0.0,921463.8851154682,0.0,18.57516721301319
921482.460657133,0.0,921482.460657133,0.0,18.57554166479374
921501.0365732572,0.0,921501.0365732572,-0.0,18.575916124122767
921519.6128638482,0.0,921519.6128638482,0.0,18.576290591000415
921539.1037353468,0.0,921539.1037353468,-0.0,19.490871498643006
921558.5950190929,0.0,921558.5950190929,-0.0,19.491283746050954
921578.0867150951,0.0,921578.0867150951,0.0,19.491696002178262
921597.5788233621,0.0,921597.5788233621,0.0,19.492108267025113
921617.0713439027,0.0,921617.0713439027,0.0,19.492520540591695
921636.5642767255,-288698.3593846595,632938.2048920661,-0.0,19.492932822878192
924038.9787702153,-369353.13377598027,554685.8449942351,2389.027347903262,13.387145586401882
920152.5691428697,-425402.70004157326,494749.8691012964,-3898.1416733878273,11.732046042188998
918121.0035504482,-469700.8353923889,448420.1681580593,-2042.02994498439,10.464352562888486
924632.7550791353,-522478.98686230567,402153.76821682963,6502.267086084916,9.484442602156472
926578.9352589457,-535406.8538498482,391172.08140909753,1937.674308302418,8.505871507877911
927048.5968458734,-563423.5788913629,363625.0179545105,461.3879868152622,8.273600112435052
930165.8690196088,-595277.2636830831,334888.6053365257,3109.5812158874714,7.690957848002154
934335.9094836605,-637898.2306185643,296437.6788650962,4162.9573041472595,7.083159904420157
937216.1771568727,-676315.0454796434,260901.1316772293,2873.9977809327065,6.269892279513804
934366.3679946372,-720048.4707876693,214317.89720696793,-2855.3274283258525,5.518266090471952
943631.1545582713,-779339.2401834631,164291.9143748082,9260.253569939745,4.532993694337755
938308.5510148501,-809017.4026386134,129291.14837623679,-5326.078447857833,3.4749044368072073
919807.2141498534,-890023.6409774575,29783.573172395932,-18504.07147544202,2.734610445329219
924390.9967388203,-924390.9967388203,0.0,4583.152642746098,0.6299462207532729
922534.7188768694,-922534.7188768694,0.0,-1856.2778619508724,0.0
